,index,table_title
3973,3973,Oxygen consumption and biochemical activities of respiratory-chain enzymes in isolated muscle mitochondria
3974,3974,Table Cumulative yield of M tuberculosis from repeated induced sputum or gastric lavage specimens
3975,3975,Table Selected sexual and injecting drug use behavioural characteristics and detected drug use markers by study sites and sex
3976,3976,Patient and graft characteristics
3977,3977,Graft characteristics
3978,3978,"Risk factors associated with disease-free survival, survival, treatment-related mortality, relapse, acute GVHD, chronic GVHD, and neutrophil engraftment after unrelated donor bone marrow transplantation, by Cox proportional hazards regression
*"
3979,3979,"Baseline socioeconomic, household, and newborn care characteristics by treatment group"
3980,3980,Intervention coverage by treatment group
3981,3981,Umbilical cord infection by treatment group
3982,3982,Umbilical cord infection by treatment group stratified by timing of intervention and skin cleansing trial intervention
3983,3983,Neonatal mortality by treatment group
3984,3984,Neonatal mortality by treatment group stratified by timing of intervention and skin cleansing trial intervention
3985,3985,Patients' characteristics
3986,3986,Days of exposure to individual antiretroviral agents (>90 days of treatment) in individuals on HAART at diagnosis of Kaposi's sarcoma
3987,3987,"Mortality by country, age, and sex (2006)
30"
3988,3988,Univariate Cox regression analysis and log rank tests
3989,3989,Validation of coefficients in Cox analysis of KS data (HAART era)
3990,3990,Probability of survival (95% CI) by prognostic score and from diagnosis of Kaposi's sarcoma
3991,3991,Baseline characteristics
3992,3992,Medication at baseline
3993,3993,Patient characteristics and medications throughout the study in the two treatment groups
3994,3994,Biochemical variables
3995,3995,Adverse events occurring in more than one case
3996,3996,Table Characteristics of the study population according to last reported use of HRT
3997,3997,Summary of studies showing distribution of smear-negative pulmonary and extrapulmonary tuberculosis in HIV-positive patients
3998,3998,National tuberculosis control programme recommendations of selected countries for diagnosis of smear-negative pulmonary tuberculosis
3999,3999,"CMFL and nodule and microfilaria prevalence rates for O volvulus, before treatment and 1 month after ivermectin treatment, in 20 onchocerciasis-endemic communities in Ghana"
4000,4000,"Table 1. Demographic, Clinical, and Lipoprotein Characteristics of Study Subjects in IDEAL and EPIC-Norfolk"
4001,4001,"Table 2. Risk Estimates for a Major Coronary Event Per 1-SD Increase of HDL-C, HDL Particle Size, and ApoA-I in the IDEAL and EPIC-Norfolk Studies"
4002,4002,"Table 3. Risk Estimates for a Major Coronary Event by Categories of HDL-C (IDEAL and EPIC-Norfolk) or HDL Particle Size (EPIC-Norfolk), Unadjusted or Adjusted for ApoA-I and B"
4003,4003,"Table 4. Risk Estimates for a Major Coronary Event by Categories of ApoA-I in IDEAL and EPIC-Norfolk, Unadjusted or Adjusted for HDL Cholesterol Content and Apolipoprotein B"
4004,4004,"Predictive Information of Changes From Baseline in Left Ventricular End-Diastolic Volume, End-Systolic Volume and Ejection Fraction in Multivariate Regression Model for Triple Composite End Point of Cardiac Death, Acute Myocardial Infarction or Development of Heart Failurelegend legend"
4005,4005,Table 1. Patient Baseline Characteristics and Treatments
4006,4006,Table 1. Patient Disposition
4007,4007,Table 2. Baseline Characteristics of the Patients and Lesions
4008,4008,Table 3. Procedural Characteristics
4009,4009,Table 4. Results of Quantitative Angiographic Analysis at Follow-Up
4010,4010,Table 5. Cumulative MACE
4011,4011,Table 6. Stent Thrombosis According to ARC Criteria
4012,4012,Table 1. Total Exercise Time Results (Seconds) in Female Patients
4013,4013,Table 2. Baseline Demographics
4014,4014,Table 4. Results From the 2 Scanners From the 2 Centers Separately
4015,4015,Table 3. Baseline Angina Medication Usage
4016,4016,Table 1. Baseline Characteristics of the INTrEPID Population
4017,4017,Table 2. Cause of Death
4018,4018,Table 1. Characteristics of Dyspneic Emergency Department Patients With Dyspnea According to Survival Status at 1 Year
4019,4019,Table 2. Identification of Independent Predictors of Death at 1 Year in Dyspneic Patients
4020,4020,Table 1. Characteristics of Study Participants
4021,4021,Table 3. Baseline Laboratory Measurements in Treatment Groups
4022,4022,Table 2. Distribution of CAD Risk Factors by MPO Quartile
4023,4023,Table 3. Odds Ratios for Future CAD Events by MPO Quartile and for MPO as Continuous Variable
4024,4024,Table 4. Odds Ratios for Fatal and Nonfatal Future CAD Events and Gender-Specific Odds Ratios by MPO Quartile (Unadjusted)
4025,4025,Table 5. Odds Ratio and 95% Confidence Intervals for MPO in Subgroups Otherwise Associated With Low Risk
4026,4026,Table 1. Baseline Characteristics of the Cohort
4027,4027,Table 2. Hemodynamic Data at Peak Stress for Perfusion Imaging at 1.5- and 3-T
4028,4028,Table 3. Diagnostic Performance of 1.5- and 3-T Perfusion Imaging for the Detection of Significant Coronary Artery Stenosis
4029,4029,Table 4. Diagnostic Performance of 1.5- and 3-T Perfusion Imaging for the Detection of the Extent and Distribution of Significant Coronary Artery Disease
4030,4030,Table 1. Patient Characteristics and Electrophysiological Findings of the Whole Study Population and of Patients With or Without Complete Heart Block
4031,4031,"Table 2. Sensitivity, Specificity, Positive Predictive Value, and Negative Predictive Value of the Parameters That Were Significantly Associated With the Occurrence of Complete Heart Block After TASH"
4032,4032,Table 1. Demographic and Angiographic Characteristics of Patients (n = 182)
4033,4033,Table 2. Diagnostic Accuracy of 64-Slice MSCT to Detect Significant In-Stent Restenosis
4034,4034,Table 3. Relationship Between Stent Size and Accuracy
4035,4035,NRI and IDI for Death and MI Using Biomarker Score
4036,4036,Table 1. BARI Randomized Trial Baseline Characteristics by Assigned Treatment and by Treated Diabetes Status
4037,4037,Table 2. Estimated 5- and 10-Year Survival for BARI Randomized Patients by Assigned Treatment and by Treated Diabetes Status
4038,4038,Table 3. Estimated Cumulative Rates of Subsequent Revascularization Procedures⁎at 10 Years by Assigned Treatment and by Treated Diabetes Status
4039,4039,Table 1. Baseline Characteristics
4040,4040,Table 2. ACE-I Medication in LVAD Patients
4041,4041,Table 3. General Medication in Both LVAD Groups
4042,4042,Demographic and Clinical Characteristics of Patients at Baseline
4043,4043,Office BP and ABP and Antihypertensive Therapy at Baseline
4044,4044,Table 4. Angiotensin I and II Measurements and Collagen Characterization
4045,4045,Table 5. Stiffness Measurements
4046,4046,Table 1. Baseline Characteristics of Coronary Artery Disease Cases and Matched Control Subjects
4047,4047,Table 2. Spearman Correlation Coefficients Between Measured Variables⁎
4048,4048,Table 3. Odds Ratios for Future Coronary Artery Disease by Quartile of Lipid/Lipoprotein Variable in Univariable and Multivariable Models⁎
4049,4049,Table 4. Myocardial Necrosis Markers
4050,4050,"Table 4. Odds Ratios for Future Coronary Artery Disease by Quartile of LDL-C and LDL-P, Both Entered Into One Model⁎"
4051,4051,"Table 5. Odds Ratios for Future Coronary Artery Disease by Quartile of LDL Size, With and Without Adjustment for LDL Particle Number⁎"
4052,4052,Table 6. Odds Ratios for Future Coronary Artery Disease After Taking Into Account the Framingham Risk Score⁎
4053,4053,Table 1. Clinical Characteristics of SUD Cohort
4054,4054,Table 2. Summary of LQTS-Associated Mutation/Polymorphism–Positive Cases
4055,4055,Table 1. Study Population
4056,4056,Table 2. Quantitative Vessel Analysis at IVUS Stratified Into Coronary Segments
4057,4057,Table 3. Plaque Composition Along the Left Coronary Artery Stratified Into Coronary Segments
4058,4058,Table 1. Patient Characteristics and Clinical Data
4059,4059,Table 2. Coronary Angiographic Data
4060,4060,Table 3. Hemodynamic and Collateral Circulation Data
4061,4061,Table 1. Patient Demographics
4062,4062,Table 2. Procedural Characteristics
4063,4063,Table 1. Electrogram Results in Porcine Coronary Occlusion Model
4064,4064,Table 2. Correlation of Electrogram Data With Necropsy Findings
4065,4065,Table 1. Summary of Neuromuscular Incapacitating Device Discharges
4066,4066,Table 1. Patient Demographics
4067,4067,Table 2. Dimensional Data
4068,4068,Table 3. Functional Data and Contractility Index
4069,4069,Table 1. Characteristics of the Study Subjects (1995) and Their Correlation With Oxidized Phospholipids/Apolipoprotein B-100 Particles and Lipoprotein (a) Levels (n = 765)
4070,4070,"Table 2. Association of OxPL/apoB and Lp(a) Level with Presence, Severity, and Progression of Carotid and Femoral Artery Atherosclerosis, and with Cardiovascular Disease"
4071,4071,Table 4. Dependence of Success on Duration of Current AF Episode
4072,4072,Table 1. Grading of Carotid Artery Stenosis by Duplex Ultrasound in Correlation With the Angiographic Degree of Stenosis
4073,4073,"Table 2. Demographic Data and Clinical Characteristics of the Study Patients (n = 1,019)"
4074,4074,"Table 3. Multivariable Logistic Regression Analysis Assessing the Risk for Progression of Atherosclerotic Lesions Measured by Duplex Ultrasound in the Carotid Arteries of 1,019 Patients From Baseline to Follow-Up (Median 7.5 Months, Range 6 to 9 Months)⁎"
4075,4075,Table 1. Baseline Patient Demographics
4076,4076,Table 2. Baseline Procedural Characteristics
4077,4077,Table 3. Clinical Outcomes
4078,4078,Table 4. Cumulative Survival Free of MACE at Nine Months
4079,4079,Table 5. Patients With a Definite or Probable Post-Procedural Stent Thrombosis
4080,4080,Table 6. Quantitative Coronary Angiography
4081,4081,Table 7. Quantitative Coronary Angiography With Respect to the Use of Kissing Balloon Post-Dilation
4082,4082,Table 1. Association of Periprocedural Hemodynamic Depression With Baseline Clinical and Angiographic Characteristics
4083,4083,Table 2. Binary Logistic Regression Model to Predict Hemodynamic Depression
4084,4084,Table 1. Baseline Characteristics in Patients Stratified by CKpeak
4085,4085,Table 2. Baseline Characteristics and In-Hospital Outcomes in Study Patients Compared With Those Excluded for Missing CK Data
4086,4086,Table 3. Clinical and Angiographic Outcomes of Patients Stratified by CKpeak
4087,4087,Table 4. Baseline Features and Outcomes of Patients Stratified by Timing of CKpeak
4088,4088,Table 5. Multivariate Predictors of 1-yr Mortality
4089,4089,Table 1. Effects of N-Acetylcysteine on Cardiac Structure and Function in cTnT-Q92 Mice
4090,4090,Table 1. Consensus Table of 64-Slice CT and IVUS to Detect and Classify Coronary Plaques
4091,4091,"Table 1. Clinical Characteristics of All Study Patients, Stratified by Renal Function"
4092,4092,"Table 2. Results of Two-Dimensional Echocardiography, Categorized With Respect to Renal Function, GFR (Dichotomized With GFR Cut Point of 60 ml/min/1.73 m2), and the Presence or Absence of CHF"
4093,4093,Table 1. Ablative Approach and Results of Cryothermal Balloon Ablation of Pulmonary Veins
4094,4094,Table 2. Distribution of Pulmonary Vein Ostial Diameters and Doppler Flow Velocities
4095,4095,Table 1. Patient Baseline Characteristics
4096,4096,Table 2. Concomitant Medication Used During Double-Blind Treatment Phase
4097,4097,Table 3. Body Systems With Treatment-Emergent Adverse Events Affecting Two or More Patients (≥5%)
4098,4098,"Table 4. Changes in Vital Signs at Peak at the End of Treadmill Exercise (Week 8, 80 mg Three Times Daily)⁎"
4099,4099,Baseline Characteristics of the Study Population Divided by BF and LMI
4100,4100,Table 1. Subject Characteristics and Seated Hemodynamic Parameters According to Age Category for Males (M) and Females (F)
4101,4101,Table 2. Associations Between Age and Arterial Parameters for Males and Females
4102,4102,Table 3. Comparison of the Effect of Aging by 10 Years on Arterial Parameters in Younger (20 to 30 Years) and Older (70 to 80 Years) Subjects
4103,4103,Table 4. Stepwise Regression Analyses
4104,4104,Table 3. Electrocardiographic Characteristics in Patients With Idiopathic Ventricular Tachycardia or Premature Ventricular Contractions Originating From the Mitral Annulus
4105,4105,Table 1. ACC/AHA Recommendation for Anticoagulation During Pregnancy in Patients With Mechanical Prosthetic Valves
4106,4106,Table 2. Recommendations of the Seventh ACCP Consensus Conference on Antithrombotic Therapy for Prophylaxis in Patients With Mechanical Heart Valves
4107,4107,Table 3. Recommended Approach for Anticoagulation Prophylaxis in Women With PHV During Pregnancy
4108,4108,Table 1. Baseline Characteristics of the Whole Population and According to Etiology of MR Assessed by TTE
4109,4109,Table 2. Respective Diagnostic Values for TTE and TEE Compared With Surgical Findings (n = Specified in Echocardiographic Report)
4110,4110,Table 6. Variables Considered Independent Predictors in a Multivariate Logistic Regression Model of Short-Term Morbidity After Noncardiac Surgery
4111,4111,"Table 3. Perioperative Mortality, Frequency of Valve Repair, and Long-Term Survival in the Group as a Whole and According to Etiology of MR"
4112,4112,Table 4. Multivariate Predictors of Perioperative Mortality
4113,4113,Table 5. Multivariate Predictors of Long-Term Mortality
4114,4114,Table 1. Salient Patient Details
4115,4115,Table 1. Clinical Characteristics of Patients
4116,4116,Table 2. Oligonucleotides Used as Primers for PCR Reaction
4117,4117,Table 1. Baseline Characteristics of the Population Analyzed Versus Other AFFIRM Patients
4118,4118,"Table 2. Baseline Characteristics, Left Atrium Size"
4119,4119,Table 3. Relative Risk of Recurrence of Atrial Fibrillation
4120,4120,Table 4. Relative Risk of Stroke
4121,4121,Table 1. Patients’ Clinical Characteristics
4122,4122,Table 1. Clinical Characteristics of the Patients
4123,4123,Table 2. Analysis by Coronary Segments
4124,4124,Table 3. Analysis by Patients
4125,4125,Table 4. Electrocardiographic Characteristics Obtained From Pacing at the Three Sites of the Mitral Annulus
4126,4126,Pre-Natal Clinical Features of Patients Diagnosed With Maternal Autoantibody-Induced Cardiomyopathy
4127,4127,Table 1. Baseline Characteristics of Patients With Pulmonary Hypertension Undergoing Noncardiac Surgery (n = 145)
4128,4128,Table 2. Incidence and Type of Early (≤30 Days) Morbidity in Patients With Pulmonary Hypertension (n = 145) After Noncardiac Surgery
4129,4129,Table 3. Univariate Association of Patient Demographics and Comorbidities With Perioperative Morbidity and Length of Hospital Stay⁎(Days) After Noncardiac Surgery
4130,4130,Table 4. Univariate Association of Operative Characteristics With Perioperative Morbidity and Length of Hospital Stay⁎(Days) After Noncardiac Surgery
4131,4131,Table 5. Univariate Association of Hemodynamic and Cardiac Performance Characteristics With Perioperative Morbidity and Length of Hospital Stay⁎(Days) After Noncardiac Surgery
4132,4132,"Table 4. Relative Binding of Wild-Type and Mutant Tcap to MLP, Titin, and CS-1, as Measured by the GST Pull-Down Competition Assays"
4133,4133,Pre- and Post-Natal Medical Treatment of Fetuses and Infants With Maternal Autoantibody–Induced Cardiomyopathy
4134,4134,Table 7. Variables Considered Independent Predictors in a Multivariate Linear Regression Model of Length of Hospital Stay After Noncardiac Surgery⁎
4135,4135,"Table 1. Baseline Characteristics and Procedural Outcomes, Patients (n = 16)"
4136,4136,Table 2. Clinical Outcomes at 1 Month and 9 Months
4137,4137,Table 3. Serial Quantitative Analysis of the Stented Segment by QCA and IVUS (n = 15)
4138,4138,Table 4. Evolution of Endothelial Progenitor Cell Capture Stent: Improvement From HEALING-FIM (H1) to HEALING II (H2)
4139,4139,Table 1. Baseline Characteristics
4140,4140,Table 2. NYHA Functional Class Before and After Randomization
4141,4141,Rhythm and Pacemaker Characteristics
4142,4142,Patient Characteristics of Responders and Nonresponders to CRT
4143,4143,Patient Characteristics of the 3 eGFR Subgroups
4144,4144,Table 3. Medication Use According to the Patient’s Management Plan (PMP)
4145,4145,Table 4. Primary Outcome Measure and its Components at 240-Day Follow-Up
4146,4146,Table 5. Primary Outcome Measure and its Components at 450-Day Follow-Up
4147,4147,Table 6. Results of Multivariate Cox Regression Analysis
4148,4148,Table 7. Summary of Forward Selection
4149,4149,Table 2. Initial TIMI Flow Grade According to Admission Glucose
4150,4150,Table 8. Patient Contacts Not Resulting in Hospitalization
4151,4151,Table 1. Baseline Characteristics and Procedural Results in the Derivation and Validation Sets
4152,4152,Table 2. Adverse Event Rates in the Derivation and Validation Sets
4153,4153,Table 3. Clinical and Angiographic Predictors of One-Year Mortality in the CADILLAC Trial
4154,4154,Table 4. Prognostic Capability of Various Risk Scoring Systems Applied to the Stent-PAMI Validation Set
4155,4155,Table 1. Baseline Characteristics of the Patient Groups According to Presence of Hyperglycemia
4156,4156,Table 3. Multivariate Analysis of Initial TIMI Flow Grade 0 to 2
4157,4157,Table 1. Electrophysiological and Ablation Characteristics Associated With Those Patients Who Were Acute Successes or Failures With Cryo at Intervention
4158,4158,Table 2. Electrophysiological and Ablation Characteristics Associated With Those Acutely Successful Patients Who Either Did or Did NotExperience Arrhythmia Recurrence During Follow-Up⁎
4159,4159,Table 1. Tachycardia Origin and Results of Radiofrequency Catheter Ablation for Idiopathic Ventricular Arrhythmias
4160,4160,Table 2. Clinical and Electrophysiologic Characteristics of Patients With Idiopathic Mitral Annular Ventricular Tachycardia or Premature Ventricular Contractions
4161,4161,Table 1. Baseline Characteristics Stratified by Diabetic Status
4162,4162,Table 2. Angiographic and Procedural Data Stratified by Diabetic Status
4163,4163,Table 1. Conservation of Cardiac Troponin I Amino Acid Residues Affected by Missense Mutations
4164,4164,Table 4. Cerebral Blood Flow Markers
4165,4165,Table 2. Phenotypic Features at First Clinical Evaluation of HCM Families With TNNI3Mutations
4166,4166,Table 1. Demographics—Patients Undergoing Intervention
4167,4167,Table 2. Type and Distribution of Stents
4168,4168,Table 3. Clinical Status
4169,4169,Table 1. Nucleotide Sequence of Primers Used in This Study
4170,4170,Table 2. Clinical Characteristics of Individuals Carrying the TCAPor MYBPC3Mutation
4171,4171,"Table 3. Relative Binding of Wild-Type and Mutant Tcap to MLP, Titin, and CS-1, as Assessed by the Y2H Assays"
4172,4172,Table 1. Clinical Characteristics of DCM Families With TNNC1or TNNT2Mutations
4173,4173,Table 2. Conservation of Cardiac Troponin T (cTnT) Amino Acid Residues Affected by Mutations
4174,4174,Table 3. Conservation of Cardiac Troponin C (cTnC) Amino Acids Affected by Mutation
4175,4175,Table 1. Clinical Features of Patients With Chronic Orthostatic Intolerance (Frequency of Findings)
4176,4176,Table 2. Systemic and Hemodynamic Values During the Phases of the Tilt Test Entered in the Stepwise Discriminant Analysis
4177,4177,Table 1. Clinical and Operative Details
4178,4178,"Table 2. Hemodynamic, Blood Gas Parameters, Oxygen Consumption, and Co-oximetry"
4179,4179,"Table 3. Calculated Flows, Flow Ratios, and Resistances"
4180,4180,Table 1. Patient Description
4181,4181,Table 2. Effects of Brachytherapy on Invasively Determined Parameters of Vessel Function
4182,4182,Table 3. Effects of Brachytherapy on Flow Parameters
4183,4183,Table 1. Antiarrhythmic Drug Use (7–9)
4184,4184,Table 2. Baseline Characteristics
4185,4185,Table 3. Drug Therapy
4186,4186,Table 4. Arrhythmic Events
4187,4187,Table 5. Torsade de Pointes Ventricular Tachycardia
4188,4188,Table 6. Torsade de Pointes VT
4189,4189,Table 1. Individual Baseline Information of Patients With Fulminant Myocarditis on Admission
4190,4190,Table 2. Baseline Characteristics of Fulminant Myocarditis and Acute Myocardial Infarction on Admission
4191,4191,Table 3. Baseline Characteristics in Subgroups of Fulminant Myocarditis on Admission
4192,4192,Table 1. Baseline Characteristics of 988 Patients Enrolled in DIG Ancillary Trial
4193,4193,"Table 2. Potential Variables Associated With Mortality in Bootstrap Models, Presented in Descending Order of Strength; 1,000 Bootstrap Models Performed in Each Iteration"
4194,4194,Table 1. Demographic Data
4195,4195,Table 2. Macrophage Density in Lipid-Rich Plaques
4196,4196,Table 1. Comparison of Clinical and Angiographic Characteristics of 5-Year Angiography Patients and Other BARI Patients
4197,4197,Table 3. Outcome for Patients With Dyspnea Compared With Those Having Chest Pain
4198,4198,Table 2. Initial and Intercurrent Revascularization by Randomization Assignment
4199,4199,Table 3. Angiographic Evaluation at 5 Years by Randomization Assignment
4200,4200,Table 4. Logistic Regression Analysis of Entry Clinical and Angiographic Features Associated With Angina at 5 Years (n = 401 Patients Who Underwent Their Randomly Assigned Treatment)
4201,4201,Table 1. Baseline Clinical Characteristics and Angiographic Features
4202,4202,Table 2. Procedural Results
4203,4203,"Table 3. In-Hospital, 30-Day, and 1-Year Outcomes Stratified by Baseline Anemia"
4204,4204,Table 2. Effects of Liposomal Adenosine on Hemodynamic Parameters
4205,4205,Table 4. Multivariate Predictors of Mortality
4206,4206,Table 5. Medication Use at Different Time Intervals as a Function of Baseline Anemia
4207,4207,Table 1. Baseline Clinical and Angiographic Characteristics (Intention to Treat)
4208,4208,Table 2. Serial QCA Analyses (Intention to Treat)
4209,4209,Table 3. IVUS Analyses (Intention to Treat)
4210,4210,"Table 4. Most Severe (Hierarchical) MACE, Revascularization Procedures (Event Per Patient), and Total Count of Cardiac Events Up to 12 Months"
4211,4211,Table 1. Characterization of Liposomes by Dynamic Light Scatter Analysis
4212,4212,Table 2. Neurohumoral and Cytokine Data
4213,4213,Table 3. Effects of Adenosine Receptor Antagonist on Hemodynamic Parameters
4214,4214,Table 1. Hemodynamic Status and LV Function
4215,4215,Table 2. Markers of Apoptosis and Oxidative Stress
4216,4216,Table 1. Demographics for CHD Hospitalizations Aggregated 2000 to 2003
4217,4217,Table 2. Comparisons of Selected Independent Variables by Year
4218,4218,Table 3. Comparison of Hospitalizations by Age: 12 to 20 Years and 21 to 44 Years (Aggregate 2000 to 2003)
4219,4219,Table 4. Multivariate Logistic Regression Analysis for Predictors of Admission Via the ED
4220,4220,Table 1. Clinical Characteristics
4221,4221,Table 2. Exercise Echocardiographic Parameters
4222,4222,Table 3. Medication Use*Based on Underlying Comorbidity†
4223,4223,Table 4. Unadjusted Deaths and CV Hospitalizations*
4224,4224,Table 5. Cox Proportional Hazards Analyses for Predicting Death or Cardiovascular Hospitalization*
4225,4225,Table 1. General Data at Baseline
4226,4226,Table 2. Baseline and Final Laboratory Parameters
4227,4227,Table 3. Distribution of End-Diastolic Diameters at the Baseline and Final Evaluations
4228,4228,Table 4. Distribution of End-Systolic Diameters at the Baseline and Final Evaluations
4229,4229,Table 4. Predictors of Cardiac Death or MI for Patients With Dyspnea
4230,4230,Table 1. Patient Data
4231,4231,Table 1. Baseline Characteristics of Patients Stratified by Pre-Procedural Beta-Blocker Therapy
4232,4232,Table 2. Catheterization Laboratory and In-Hospital Outcomes
4233,4233,Table 3. Multivariate Predictors of 30-Day Mortality Stratified by Pre-Admission Beta-Blocker Use
4234,4234,Table 1. Baseline Characteristics
4235,4235,Table 2. Cytokine Substudy
4236,4236,Table 1. Baseline Clinical Characteristics Stratified by the Severity of Mitral Regurgitation
4237,4237,Table 2. Baseline Angiographic Characteristics and Procedural Outcomes Stratified by the Severity of Mitral Regurgitation
4238,4238,Table 3. Clinical Outcomes Stratified by the Severity of Mitral Regurgitation
4239,4239,Table 1. Baseline Characteristics
4240,4240,Table 2. Angiographic and Procedural Characteristics
4241,4241,Table 3. Presenting Neurologic Deficits of Patients With a Cerebrovascular Accident After Percutaneous Coronary Intervention
4242,4242,Table 3. Quantitative Angiographic Results
4243,4243,Table 4. In-Hospital Outcomes of Patients/Lesions
4244,4244,Table 5. Baseline Characteristics of Patients Treated With Multivessel Angioplasty or Stenting
4245,4245,Table 1. Baseline Clinical Characteristics
4246,4246,Table 2. Percutaneous Coronary Intervention Characteristics
4247,4247,Table 2. Patient Demographics
4248,4248,Table 3. Clinical Characteristics Associated With First Rate-Control Drug Used
4249,4249,Table 4. Cumulative Achievement of Adequate Ventricular Rate Control
4250,4250,Table 5. Reasons for Discontinuation of Rate-Controlling Drugs
4251,4251,"Table 1. Baseline Characteristics of 5,491 Patients With and Without a History of Diabetes"
4252,4252,Table 2. Baseline Characteristics of 900 Diabetic Patients According to Gender
4253,4253,Table 5. Distribution of Shortening Fraction at the Baseline and Final Evaluations
4254,4254,Table 4. Long-Term Mortality Risk in Diabetic Patients Compared With Non-Diabetic Patients: Results of Univariate and Multivariate Models
4255,4255,"Table 3. Baseline Characteristics of 4,591 Non-Diabetic Patients According to Gender"
4256,4256,Table 1. Patient Characteristics
4257,4257,Table 2. Imaging Investigation Results
4258,4258,Table 3. Univariate and Multivariate Predictors of Any Event by Cox Regression
4259,4259,Table 4. Univariate Predictors of an Event Based on the Presence of Coronary Disease and Two-Year Risk of a Cardiac Event
4260,4260,"Table 5. Univariate Predictors of an Event Based on the Presence of Coronary Artery Disease, Dialysis, or Multiple Risk Factors"
4261,4261,Table 1. Representative Genes Differentially Regulated Between Mice With Femoral Artery Ligation and Sham Control Operation
4262,4262,"Table 2. Changes of Three Selected Genes Validated by Real-Time RT-PCR (MCP1, MT1 at Day 1, and MMP12 at Day 7)"
4263,4263,Table 1. Anthropometric and Biochemical Variables According to the Three Genotypes
4264,4264,Table 2. Echocardiographic Variables According to the Three Genotypes
4265,4265,Table 3. Simple Regressions Between Cardiac Variables Versus CYP11B2
4266,4266,Table 4. Multiple Regression Analysis
4267,4267,Table 1. Population Characteristics at Baseline
4268,4268,Table 2. Intergroup Comparisons of Treatment Effect
4269,4269,Table 1. Patient Characteristics
4270,4270,Table 1. Baseline and Procedural Characteristics
4271,4271,Table 2. Clinical Events at 14-Day Follow-Up
4272,4272,Table 3. Patient Characteristics According to the Occurrence of Stent Thrombosis
4273,4273,"Table 1. Baseline Clinical, Electrocardiographic, and Echocardiographic Characteristics of Study Population Stratified by Event Status"
4274,4274,Table 1. Demographic Features and Procedural Outcomes
4275,4275,Table 2. Multivariate Model for Prediction of First Age-Related Events
4276,4276,Table 3. Risk-Scoring Algorithm for the Prediction of First Age-Related Cardiovascular Events
4277,4277,Table 4. Kaplan-Meier Event Rates for the Study Population and Prospective Validation Cohort
4278,4278,Table 1. Patient and Lesion Characteristics
4279,4279,Table 2. Findings in Patients With Hyperintense Areas on MRI
4280,4280,Table 3. LVEF and Mortality: Multivariable Analysis
4281,4281,Table 2. Core Laboratory Angiographic Analysis
4282,4282,Table 3. Early and Late Clinical Outcomes
4283,4283,Table 4. Economic Analysis
4284,4284,Table 1. Baseline Patient Characteristics
4285,4285,Table 2. Bridging Segment Characteristics
4286,4286,"Table 3. Univariate Analyses for the Association of Bridging Segment Characteristics With the End Points of Overall Death, Cardiac Death, and Sudden Cardiac Death"
4287,4287,Table 1. Electrocardiographic Data Summary
4288,4288,Table 2. Electrophysiologic Data Summary
4289,4289,Table 1. Selected Studies Supporting the Concept of PharmacoInvasive Recanalization
4290,4290,Table 1. Characteristics of Participants
4291,4291,Table 2. Incidence and Relative Risk of Ischemic Cardiovascular Disease and Myocardial Infarction in PlA1/PlA2Heterozygotes or PlA2/PlA2Homozygotes Versus PlA1/PlA1Noncarriers by Cox Regression Analysis
4292,4292,"Table 3. Incidence and Relative Risk of Ischemic Cardiovascular Disease and Myocardial Infarction in PlA1/PlA2Heterozygotes or PlA2/PlA2Homozygotes Versus PlA1/PlA1Noncarriers by Cox Regression, Stratified by Age"
4293,4293,"Table 4. Age at First Event in PlA1/PlA2Heterozygotes, PlA2/PlA2Homozygotes, and PlA1/PlA1Noncarriers"
4294,4294,Table 1. Baseline Characteristics Stratified by LVEF
4295,4295,Table 2. Crude Mortality and Cause of Death
4296,4296,Table 1. Cost Calculations for Testing
4297,4297,Table 2. Clinical Characteristics of Conventional and Monitored Groups
4298,4298,Table 3. Cost of Testing Before and During the Study
4299,4299,Table 1. Characteristics of the Cohort According to Quintiles of Total Vitamin C Intake at Baseline (1980)
4300,4300,Table 2. Adjusted Relative Risks and 95% Confidence Intervals for Coronary Heart Disease (Nonfatal MI and Fatal CHD) According to Quintile of Vitamin C Intake*
4301,4301,Table 3. Characteristics of the Cohort According to Vitamin C Supplement Use at Baseline (1980)*
4302,4302,Table 4. Adjusted Relative Risks and 95% Confidence Intervals for Coronary Heart Disease (Nonfatal MI and Fatal CHD)*According to Use of Vitamin C Supplements†
4303,4303,"Table 1. Patient Characteristics, Anatomic Diagnoses, and Surgical Technique"
4304,4304,Table 1. Antiarrhythmic Drug Use
4305,4305,Table 2. Randomization Scheme: Numbers Eligible for Treatment Arms
4306,4306,Table 3. Randomization Scheme: Totals Used for Comparison
4307,4307,Table 4. Baseline Patient Demographics
4308,4308,Table 5. First Antiarrhythmic Drug Substudy End Points: Amiodarone Versus Class I Drugs*
4309,4309,Table 6. First Antiarrhythmic Drug Substudy End Points: Amiodarone Versus Sotalol*
4310,4310,Table 7. First Antiarrhythmic Drug Substudy End Points: Sotalol Versus Class I Drugs*
4311,4311,Table 8. Adverse Effects Causing Discontinuation of First Antiarrhythmic Drug Within the First Year
4312,4312,"Table 1. Principal Indications for Intra-Aortic Balloon Pump Use in 5,495 Patients With AMI"
4313,4313,Table 2. Effect of IABP Placement on Hemodynamic Measures
4314,4314,"Table 3. Failure and Complications of the IABP (n = 5,495)"
